title,artist,plays,days...
Don't Walk Away,Jade,2,2025-01-02,2025-01-16
Wonderland By Night,Bert Kaempfert And His Orchestra,2,2025-02-13
Will You Love Me Tomorrow,The Shirelles,4,2025-02-13
A Thousand Stars,Kathy Young With The Innocents,5,2025-02-06
Knock Three Times,Dawn,6,2025-03-06,2025-03-13,2025-03-20
I'll Be There,Jackson 5,1,2025-01-02
Harden My Heart,Quarterflash,5,2025-03-06,2025-03-13,2025-03-20
Downtown,Petula Clark,3,2025-02-27,2025-03-20
Angel Of Mine,Monica,6,2025-03-27
Sailor (Your Home Is The Sea),Lolita,3,2025-01-02,2025-01-09,2025-01-16
Ditty,Paperboy,5,2025-03-20
One Less Bell To Answer,The 5th Dimension,4,2025-02-06,2025-02-13
Lately,Divine,4,2025-02-13
Believe,Cher,4,2025-02-06
Save Tonight,Eagle-Eye Cherry,8,2025-03-27
The Sweetest Thing (I've Ever Known),Juice Newton,9,2025-03-13,2025-03-20
Empire State Of Mind,Jay-Z + Alicia Keys,7,2025-03-13
Telephone,Lady Gaga Featuring Beyonce,7,2025-03-27
Baby-Baby-Baby,TLC,2,2025-01-02,2025-01-09
"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,3,2025-01-02,2025-01-09,2025-01-23
If I Ever Fall In Love,Shai,8,2025-03-20,2025-03-27
Where Are U Now,Skrillex & Diplo With Justin Bieber,3,2025-03-21
He Will Break Your Heart,Jerry Butler,3,2025-02-06
In My Head,Jason Derulo,6,2025-03-20
For The Good Times,Ray Price,1,2025-01-02
The Tears Of A Clown,Smokey Robinson & The Miracles,3,2025-01-02,2025-01-16,2025-01-30
We've Only Just Begun,Carpenters,1,2025-01-02
Truly Madly Deeply,Savage Garden,6,2025-03-28
Love Story,Taylor Swift,4,2025-02-07,2025-02-28
Here Without You,3 Doors Down,6,2025-03-13,2025-03-20
Unwell,matchbox twenty,6,2025-03-20
Semi-Charmed Life,Third Eye Blind,1,2025-01-03
Shake It Off,Taylor Swift,4,2025-02-28,2025-03-14
All For You,Sister Hazel,3,2025-03-28
Someday,Nickelback,5,2025-03-20
You Found Me,The Fray,4,2025-01-03,2025-01-17,2025-01-24,2025-01-31
Disturbia,Rihanna,5,2025-02-07,2025-02-14,2025-02-21
All About That Bass,Meghan Trainor,6,2025-03-21
Celebration,Kool & The Gang,4,2025-02-07,2025-03-07
Another One Bites The Dust,Queen,7,2025-02-07,2025-02-21,2025-02-28
Hot N Cold,Katy Perry,6,2025-03-14,2025-03-28
Come Together/Something,The Beatles,3,2025-01-03,2025-01-10,2025-01-17
Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,3,2025-02-14
Keep On Loving You,REO Speedwagon,4,2025-03-21
Poker Face,Lady Gaga,4,2025-03-07,2025-03-14
(Just Like) Starting Over,John Lennon,7,2025-03-28
Whatever You Like,T.I.,4,2025-03-14
The First Cut Is The Deepest,Sheryl Crow,6,2025-03-13
So What,P!nk,3,2025-02-21,2025-03-07
Everybody Have Fun Tonight,Wang Chung,2,2025-01-03,2025-01-17
At This Moment,Billy Vera & The Beaters,7,2025-03-21
The Way It Is,Bruce Hornsby & The Range,2,2025-01-03,2025-01-31
Walk Like An Egyptian,The Bangles,5,2025-02-07,2025-02-14,2025-02-28
The Next Time I Fall,Peter Cetera With Amy Grant,4,2025-01-03,2025-01-10,2025-01-17,2025-01-31
All Cried Out,Allure Featuring 112,5,2025-02-07,2025-02-14
Take Me To Church,Hozier,8,2025-03-28
Numb,Linkin Park,7,2025-03-20,2025-03-27
Heartless,Kanye West,8,2025-03-21,2025-03-28
He's So Shy,The Pointer Sisters,3,2025-01-03,2025-01-10,2025-01-17
Upside Down,Diana Ross,2,2025-01-03,2025-01-10
The Tide Is High,Blondie,8,2025-03-14,2025-03-28
Passion,Rod Stewart,7,2025-02-14,2025-02-28,2025-03-07
Every Woman In The World,Air Supply,6,2025-03-21
Keep Your Hands To Yourself,The Georgia Satellites,5,2025-03-21
I Write The Songs,Barry Manilow,7,2025-03-27
Golden Years,David Bowie,10,2025-03-20,2025-03-27
Open Your Heart,Madonna,5,2025-02-21,2025-02-28,2025-03-07
Rockin' Around The Christmas Tree,Brenda Lee,5,2025-01-04,2025-01-04,2025-01-06,2025-01-09,2025-01-09
Foolish Games/You Were Meant For Me,Jewel,6,2025-01-04,2025-01-10,2025-01-17,2025-01-24,2025-01-31,2025-02-01
Jingle Bell Rock,Bobby Helms,5,2025-01-04,2025-01-05,2025-01-06,2025-01-09,2025-01-12
A Bar Song (Tipsy),Shaboozey,2,2025-01-04,2025-01-18
Someone You Loved,Lewis Capaldi,6,2025-03-21,2025-03-28
Don't Start Now,Dua Lipa,4,2025-03-21
Dark Horse,Katy Perry Featuring Juicy J,2,2025-01-04,2025-02-01
All Of Me,John Legend,5,2025-02-08,2025-02-15
Mack The Knife,Bobby Darin,3,2025-01-04,2025-01-18,2025-02-01
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,3,2025-03-08
When I'm Gone,3 Doors Down,7,2025-03-29
The Bones,Maren Morris,6,2025-03-28
Pompeii,Bastille,4,2025-02-22,2025-03-15
Twisted,Keith Sweat,6,2025-02-15,2025-02-22,2025-03-08
The Game Of Love,Santana Featuring Michelle Branch,6,2025-02-08,2025-03-01,2025-03-08
Ignition,R. Kelly,5,2025-02-22,2025-03-01,2025-03-08
Counting Blue Cars,Dishwalla,4,2025-03-01
The Box,Roddy Ricch,8,2025-03-21
Nobody,Keith Sweat Featuring Athena Cage,6,2025-02-08
The Little Drummer Boy,The Harry Simeone Chorale,7,2025-02-09
Die With A Smile,Lady Gaga & Bruno Mars,4,2025-01-04,2025-01-11,2025-01-18,2025-02-01
Panini,Lil Nas X,3,2025-01-04,2025-01-11,2025-02-01
"Hold On, We're Going Home",Drake Featuring Majid Jordan,8,2025-03-29
All 4 Love,Color Me Badd,5,2025-02-22,2025-03-21
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,2,2025-01-04,2025-01-06
Love Child,Diana Ross & The Supremes,4,2025-01-04,2025-01-18,2025-01-25,2025-02-01
Heartaches By The Number,Guy Mitchell,4,2025-01-04,2025-01-11,2025-01-18,2025-02-01
How Will I Know,Whitney Houston,5,2025-03-29
"Say You, Say Me",Lionel Richie,6,2025-03-22
Burning Heart,Survivor,3,2025-03-29
Separate Lives,Phil Collins and Marilyn Martin,5,2025-01-04,2025-01-11,2025-01-18,2025-01-25,2025-02-01
El Paso,Marty Robbins,4,2025-03-07,2025-03-28
It's All Coming Back To Me Now,Celine Dion,6,2025-02-08,2025-02-22
You Learn/You Oughta Know,Alanis Morissette,4,2025-01-04,2025-01-18,2025-01-25,2025-02-01
Safe And Sound,Capital Cities,5,2025-02-08,2025-03-01
Wrecking Ball,Miley Cyrus,3,2025-03-22
Hanging By A Moment,Lifehouse,3,2025-02-24
Without Me,Halsey,4,2025-02-16,2025-03-16
Family Affair,Mary J. Blige,6,2025-02-09,2025-02-16,2025-02-23
Girls Like You,Maroon 5 Featuring Cardi B,3,2025-03-16
Apologize,Timbaland Featuring OneRepublic,4,2025-02-16,2025-02-23,2025-03-15
Chantilly Lace,Big Bopper,3,2025-01-05,2025-01-12,2025-01-19
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,5,2025-03-23
A Lover's Question,Clyde McPhatter,7,2025-03-23
Sicko Mode,Travis Scott,5,2025-02-09,2025-02-16,2025-03-02
Limbo Rock,Chubby Checker,1,2025-01-05
In The End,Linkin Park,6,2025-03-16,2025-03-23,2025-03-30
Bubbly,Colbie Caillat,5,2025-03-15,2025-03-22
Lucid Dreams,Juice WRLD,6,2025-03-23
I Like It,"Cardi B, Bad Bunny & J Balvin",5,2025-02-23,2025-03-02
High Hopes,Panic! At The Disco,3,2025-01-05,2025-01-19,2025-01-26
U Got It Bad,Usher,5,2025-02-23,2025-03-23
The Most Beautiful Girl,Charlie Rich,3,2025-01-05,2025-01-12,2025-01-19
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,3,2025-03-09,2025-03-23
Our Song,Taylor Swift,5,2025-03-29
Last Christmas,Wham!,2,2025-01-05,2025-01-06
Lights,Ellie Goulding,6,2025-03-10
Pop Muzik,M,2,2025-01-05,2025-01-12
Return To Sender,Elvis Presley With The Jordanaires,4,2025-01-05,2025-01-12,2025-01-19,2025-01-26
One More Night,Maroon 5,3,2025-01-05,2025-01-19,2025-02-02
Crank That (Soulja Boy),Soulja Boy Tell'em,5,2025-02-09,2025-02-16
Lonesome Town,Ricky Nelson,3,2025-01-05,2025-01-19,2025-01-26
Show And Tell,Al Wilson,6,2025-02-23,2025-03-02,2025-03-09
The Joker,The Steve Miller Band,5,2025-02-16,2025-02-23,2025-03-02
Midnight Train To Georgia,Gladys Knight And The Pips,1,2025-01-05
Love's Theme,Love Unlimited Orchestra,6,2025-03-23,2025-03-30
Rock With You,Michael Jackson,7,2025-03-22,2025-03-29
From A Distance,Bette Midler,7,2025-03-16
Shallow,Lady Gaga & Bradley Cooper,6,2025-02-09,2025-02-16,2025-02-23
I Will Wait,Mumford & Sons,5,2025-03-02,2025-03-09,2025-03-30
Telstar,The Tornadoes,5,2025-02-16
With You,Chris Brown,6,2025-03-08,2025-03-15,2025-03-22
Stagger Lee,Lloyd Price,7,2025-03-30
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,6,2025-03-23
All I Want For Christmas Is You,Mariah Carey,2,2025-01-06,2025-01-09
Last Night,Morgan Wallen,5,2025-03-09,2025-03-18,2025-03-23
Stick Season,Noah Kahan,7,2025-03-30
Greedy,Tate McRae,6,2025-03-09,2025-03-30
Paint The Town Red,Doja Cat,3,2025-02-17,2025-03-09
That's What I Like,Bruno Mars,3,2025-02-25,2025-03-11
Agora Hills,Doja Cat,4,2025-02-10
Chasing Cars,Snow Patrol,4,2025-02-24,2025-03-24
The Way You Love Me,Faith Hill,6,2025-03-24
If You're Gone,matchbox twenty,5,2025-02-17,2025-02-24,2025-03-03
Rockstar,Post Malone Featuring 21 Savage,4,2025-03-31
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,2,2025-01-06,2025-01-27
SexyBack,Justin Timberlake,3,2025-02-17,2025-03-03
Water,Tyla,7,2025-03-30
Feather,Sabrina Carpenter,6,2025-02-17,2025-03-09
Le Freak,Chic,6,2025-03-17,2025-03-31
Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,3,2025-01-06,2025-01-13,2025-01-20
Feel It Still,Portugal. The Man,8,2025-03-24,2025-03-31
Hot Child In The City,Nick Gilder,1,2025-01-06
Peppermint Twist - Part I,Joey Dee & the Starliters,4,2025-03-03,2025-03-10
Lips Of An Angel,Hinder,4,2025-02-10,2025-02-17,2025-02-24
Far Away,Nickelback,3,2025-02-24
Kiss From A Rose,Seal,4,2025-02-17
I Will Survive,Gloria Gaynor,4,2025-02-17
Too Much Heaven,Bee Gees,5,2025-02-24
Back To Life,Soul II Soul,7,2025-03-24
Say It Right,Nelly Furtado,6,2025-02-10,2025-02-17,2025-02-24
My Love,Justin Timberlake Featuring T.I.,5,2025-03-24
Walk It Out,Unk,7,2025-03-31
The Lion Sleeps Tonight,The Tokens,5,2025-02-10,2025-02-24
Different Drum,Stone Poneys Featuring Linda Ronstadt,5,2025-02-10,2025-02-17
The Wanderer,Dion,5,2025-03-31
Cotton Fields,The Highwaymen,5,2025-03-24
As I Lay Me Down,Sophie B. Hawkins,4,2025-03-02,2025-03-16,2025-03-30
December,Collective Soul,2,2025-01-06,2025-01-27
Anti-Hero,Taylor Swift,6,2025-03-25,2025-04-01
Something In The Orange,Zach Bryan,6,2025-02-18,2025-02-25,2025-03-18
I'm Good (Blue),David Guetta & Bebe Rexha,7,2025-04-01
Creepin',"Metro Boomin, The Weeknd & 21 Savage",7,2025-03-25
Rolling In The Deep,Adele,7,2025-03-26
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,3,2025-01-07,2025-01-14,2025-01-21
Calm Down,Rema & Selena Gomez,4,2025-04-01
How Deep Is Your Love,Bee Gees,6,2025-03-18
Under The Influence,Chris Brown,4,2025-03-11,2025-03-25,2025-04-01
Bad Habit,Steve Lacy,1,2025-01-07
Unholy,Sam Smith & Kim Petras,4,2025-02-18
We Belong Together,Mariah Carey,1,2025-01-07
Stayin' Alive,Bee Gees,5,2025-02-11,2025-03-11
Cheap Thrills,Sia Featuring Sean Paul,3,2025-02-25
We Found Love,Rihanna Featuring Calvin Harris,7,2025-03-31
100% Pure Love,Crystal Waters,5,2025-02-11,2025-03-04,2025-03-11
Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,3,2025-01-07,2025-01-14,2025-01-28
Because Of You,Kelly Clarkson,8,2025-03-25,2025-04-01
24K Magic,Bruno Mars,5,2025-03-25,2025-04-01
Sexy And I Know It,LMFAO,4,2025-03-24
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,3,2025-01-07,2025-01-14,2025-01-21
Say Say Say,Paul McCartney And Michael Jackson,1,2025-01-07
Treat You Better,Shawn Mendes,6,2025-02-18,2025-03-04,2025-03-18
Tootsee Roll,69 Boyz,5,2025-03-25
You Gotta Be,Des'ree,4,2025-04-01
Waiting For A Star To Fall,Boy Meets Girl,5,2025-02-11,2025-02-18
Look Away,Chicago,6,2025-02-11,2025-02-18,2025-03-04
How Can I Fall?,Breathe,3,2025-01-07,2025-01-14,2025-01-21
Someone Like You,Adele,6,2025-02-25,2025-03-03,2025-03-12
Straight Up,Paula Abdul,5,2025-03-04,2025-03-11,2025-03-18
Making Love Out Of Nothing At All,Air Supply,1,2025-01-07
Just The Way You Are,Billy Joel,7,2025-03-18,2025-03-25
Don't It Make My Brown Eyes Blue,Crystal Gayle,3,2025-01-07,2025-01-14,2025-02-04
Creep,TLC,6,2025-03-25
I'm The Only One,Melissa Etheridge,4,2025-03-04,2025-03-18,2025-04-01
Winchester Cathedral,The New Vaudeville Band,3,2025-01-07,2025-01-14,2025-01-21
Giving You The Best That I Got,Anita Baker,5,2025-02-11,2025-02-18
Shivers,Ed Sheeran,7,2025-03-19
Good 4 U,Olivia Rodrigo,4,2025-02-12,2025-02-26,2025-03-05
Just The Way You Are,Bruno Mars,5,2025-03-19
I Wanna Know,Joe,2,2025-01-08,2025-02-05
Industry Baby,Lil Nas X & Jack Harlow,5,2025-03-05,2025-03-12,2025-03-19
If I Die Young,The Band Perry,2,2025-01-08,2025-01-15
Gloria,Laura Branigan,3,2025-03-05,2025-03-12
Thats What I Want,Lil Nas X,3,2025-02-26
Firework,Katy Perry,3,2025-03-05
Goodies,Ciara Featuring Petey Pablo,5,2025-02-19,2025-03-05
I Like Dreamin',Kenny Nolan,6,2025-02-19,2025-03-05,2025-03-12
Someday,Sugar Ray,2,2025-01-08,2025-01-29
All That She Wants,Ace Of Base,6,2025-03-05,2025-03-12,2025-03-26
Scorpio,Dennis Coffey & The Detroit Guitar Band,3,2025-02-12,2025-02-19
Lean Back,Terror Squad,3,2025-01-08,2025-01-15,2025-01-22
Disco Inferno,50 Cent,4,2025-02-26
Teenage Dream,Katy Perry,5,2025-03-05,2025-03-12
Who Can It Be Now?,Men At Work,1,2025-01-08
Don't Leave Me This Way,Thelma Houston,6,2025-03-19
Dreamlover,Mariah Carey,4,2025-02-12,2025-02-19
You Can't Hurry Love,Phil Collins,5,2025-03-26
Allentown,Billy Joel,5,2025-03-19
We Can Work It Out,The Beatles,7,2025-02-12,2025-02-19,2025-02-26
She's Just My Style,Gary Lewis And The Playboys,3,2025-02-19
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,4,2025-02-20,2025-03-06
Physical,Olivia Newton-John,4,2025-03-27
Mr. Lonely,Bobby Vinton,2,2025-01-09,2025-01-16
Love Yourself,Justin Bieber,2,2025-01-09,2025-01-23
Centerfold,The J. Geils Band,4,2025-02-20
Last Date,Floyd Cramer,4,2025-02-13,2025-02-20
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,2,2025-01-09,2025-01-30
Rockstar,DaBaby Featuring Roddy Ricch,3,2025-02-13
Dazzey Duks,Duice,6,2025-02-20,2025-02-27,2025-03-06
Waiting For A Girl Like You,Foreigner,5,2025-02-13
Come See About Me,The Supremes,1,2025-01-09
Levitating,Dua Lipa Featuring DaBaby,3,2025-01-09,2025-01-23,2025-01-30
Stay,Maurice Williams & The Zodiacs,2,2025-01-09,2025-01-30
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,3,2025-01-09,2025-01-23,2025-01-30
"Hungry Eyes (From ""Dirty Dancing"")",Eric Carmen,2,2025-01-09,2025-01-30
Seasons Change,Expose,4,2025-03-26
Hotline Bling,Drake,6,2025-02-13,2025-02-20,2025-02-27
She's Not There,The Zombies,2,2025-01-09,2025-01-23
Wheels,The String-A-Longs,4,2025-02-20,2025-03-20
Calcutta,Lawrence Welk And His Orchestra,2,2025-01-09,2025-01-30
Shop Around,"The Miracles (featuring Bill ""Smokey"" Robinson)",6,2025-03-27
I Don't Want To Wait,Paula Cole,5,2025-03-28
Bohemian Rhapsody,Queen,4,2025-02-21,2025-03-13,2025-03-21
Uptown Funk!,Mark Ronson Featuring Bruno Mars,3,2025-02-21
Viva La Vida,Coldplay,3,2025-02-28,2025-03-07
How's It Going To Be,Third Eye Blind,3,2025-03-21,2025-03-28
Together Again,Janet,5,2025-03-21
Raindrops Keep Fallin' On My Head,B.J. Thomas,6,2025-02-14,2025-03-07,2025-03-14
Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,5,2025-02-14,2025-02-28
Chandelier,Sia,6,2025-02-28,2025-03-07,2025-03-14
White Flag,Dido,5,2025-02-14,2025-02-28
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,2,2025-01-10,2025-01-17
Let It Rock,Kevin Rudolf Featuring Lil Wayne,4,2025-03-14
Love Machine (Part 1),The Miracles,1,2025-01-10
Earned It (Fifty Shades Of Grey),The Weeknd,6,2025-03-21,2025-03-28
Leaving On A Jet Plane,"Peter, Paul & Mary",2,2025-01-10,2025-01-17
Gives You Hell,The All-American Rejects,4,2025-02-14,2025-03-07,2025-03-14
Tubthumping,Chumbawamba,6,2025-02-28,2025-03-07,2025-03-28
My Immortal,Evanescence,4,2025-03-06,2025-03-27
Closer,Ne-Yo,1,2025-01-10
Human,The Human League,2,2025-01-10,2025-01-17
Land Of Confusion,Genesis,3,2025-03-07
Baby Boy,Beyonce Featuring Sean Paul,6,2025-02-14,2025-02-21
My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,3,2025-02-14
Word Up,Cameo,1,2025-01-10
Lose Control,Teddy Swims,5,2025-02-10,2025-03-02
Beautiful Things,Benson Boone,6,2025-03-30
Circles,Post Malone,5,2025-02-22,2025-03-14
Counting Stars,OneRepublic,5,2025-03-22,2025-03-29
I Had Some Help,Post Malone Featuring Morgan Wallen,2,2025-01-11,2025-01-18
Wake Me Up!,Avicii,6,2025-03-29
Adore You,Harry Styles,3,2025-02-15,2025-03-07
Million Dollar Baby,Tommy Richman,1,2025-01-11
Barely Breathing,Duncan Sheik,7,2025-03-22
You're Makin' Me High/Let It Flow,Toni Braxton,2,2025-01-11,2025-01-25
Macarena (Bayside Boys Mix),Los Del Rio,1,2025-01-11
Hey Jude,The Beatles,1,2025-01-11
Truth Hurts,Lizzo,5,2025-02-15,2025-02-22
Royals,Lorde,4,2025-03-29
I Love You Always Forever,Donna Lewis,6,2025-03-22
Demons,Imagine Dragons,7,2025-03-29
Timber,Pitbull Featuring Ke$ha,5,2025-03-29
Don't Let Go (Love),En Vogue,4,2025-03-01,2025-03-29
Roar,Katy Perry,4,2025-03-08,2025-03-22
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,6,2025-03-21,2025-03-28
Mr. Blue,The Fleetwoods,1,2025-01-11
Crimson And Clover,Tommy James And The Shondells,6,2025-02-15,2025-02-22,2025-03-08
Ballin',Mustard & Roddy Ricch,5,2025-03-21
Alive & Kicking,Simple Minds,5,2025-02-15,2025-03-01
Everything I Wanted,Billie Eilish,2,2025-03-28
Dilemma,Nelly Featuring Kelly Rowland,2,2025-01-11,2025-01-18
Taste,Sabrina Carpenter,3,2025-01-11,2025-01-25,2025-02-01
Java,Al (He's the King) Hirt,2,2025-01-11,2025-01-25
Unchained Melody,The Righteous Brothers,3,2025-03-02,2025-03-23
How You Remind Me,Nickelback,4,2025-03-23
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,2025-01-12
Better Now,Post Malone,3,2025-02-16,2025-03-09
Big Girls Don't Cry,Fergie,1,2025-01-12
Eastside,"benny blanco, Halsey & Khalid",3,2025-03-16
Some Nights,fun.,4,2025-02-23
Low,Flo Rida Featuring T-Pain,6,2025-02-23,2025-03-01,2025-03-08
The Way I Are,Timbaland Featuring Keri Hilson,5,2025-02-23,2025-03-01
"To Know Him, Is To Love Him",The Teddy Bears,2,2025-02-23
Come And Get Your Love,Redbone,6,2025-03-30
Youngblood,5 Seconds Of Summer,4,2025-02-16,2025-02-23,2025-03-09
I Feel For You,Chaka Khan,1,2025-01-12
Differences,Ginuwine,3,2025-02-16
Big Girls Don't Cry,The 4 Seasons,1,2025-01-12
Jungle Boogie,Kool & The Gang,5,2025-03-02,2025-03-09,2025-03-16
Smoke Gets In Your Eyes,The Platters,6,2025-03-23
Top Of The World,Carpenters,4,2025-02-16
Lonely Teardrops,Jackie Wilson,6,2025-03-23,2025-03-30
Out Of Touch,Daryl Hall John Oates,4,2025-03-02
Rhythm Of The Rain,The Cascades,7,2025-03-30
Bobby's Girl,Marcie Blane,3,2025-01-12,2025-01-19,2025-01-26
Seasons In The Sun,Terry Jacks,5,2025-03-16,2025-03-23
"Never, Never Gonna Give Ya Up",Barry White,3,2025-02-23
Gotta Travel On,Billy Grammer,5,2025-03-16,2025-03-30
Strut,Sheena Easton,3,2025-01-12,2025-02-02,2025-02-09
I Cried A Tear,LaVern Baker,2,2025-03-30
Thinkin' Bout Me,Morgan Wallen,5,2025-03-16,2025-03-18,2025-03-23
Flowers,Miley Cyrus,8,2025-03-25,2025-04-01
Kill Bill,SZA,6,2025-03-25
Before He Cheats,Carrie Underwood,6,2025-02-17,2025-03-03,2025-03-17
How To Save A Life,The Fray,5,2025-03-10,2025-03-17
Meant To Be,Bebe Rexha & Florida Georgia Line,5,2025-03-31
Kryptonite,3 Doors Down,5,2025-03-17,2025-03-31
What Was I Made For?,Billie Eilish,5,2025-03-09,2025-03-16,2025-03-23
Y.M.C.A.,Village People,3,2025-03-24
Moon River,Henry Mancini And His Orchestra,2,2025-01-13,2025-01-27
Missing,Everything But The Girl,1,2025-01-13
Run-Around,Blues Traveler,2,2025-01-13,2025-02-03
Havana,Camila Cabello Featuring Young Thug,4,2025-03-24
Bust A Move,Young M.C.,1,2025-01-13
Da Ya Think I'm Sexy?,Rod Stewart,5,2025-02-17,2025-03-03,2025-03-17
New Rules,Dua Lipa,4,2025-03-10
Thank You,Dido,3,2025-01-13,2025-01-20,2025-02-10
Again,Lenny Kravitz,3,2025-01-13,2025-01-20,2025-02-03
Run To Him,Bobby Vee,3,2025-02-24
Judy In Disguise (With Glasses),John Fred And The Playboys,5,2025-02-17,2025-02-24,2025-03-02
Sharing The Night Together,Dr. Hook,3,2025-01-13,2025-01-20,2025-01-27
What Hurts The Most,Rascal Flatts,2,2025-01-13,2025-01-20
Unforgettable,French Montana Featuring Swae Lee,1,2025-01-13
South Side,Moby Featuring Gwen Stefani,6,2025-03-10,2025-03-24,2025-03-31
Anything,3T,6,2025-03-02,2025-03-16,2025-03-30
Bodak Yellow (Money Moves),Cardi B,3,2025-01-13,2025-01-20,2025-01-27
Thunder,Imagine Dragons,6,2025-03-24
It's Not Over,Daughtry,5,2025-03-03,2025-03-10,2025-03-24
Rock And A Hard Place,Bailey Zimmerman,4,2025-03-11,2025-03-25
Beverly Hills,Weezer,2,2025-01-14,2025-02-04
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2,2025-01-14,2025-02-11
Don't Let Me Down,The Chainsmokers Featuring Daya,5,2025-03-26
