artist,genres...
DaBaby & YoungBoy Never Broke Again,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
King Von Featuring G Herbo,"['chicago rap', 'rap']"
King Von Featuring Fivio Foreign,"['chicago rap', 'rap']"
King Von & Lil Durk,"['chicago rap', 'rap']"
King Von Featuring Moneybagg Yo,"['chicago rap', 'rap']"
Megan Thee Stallion & Dua Lipa,"['houston rap', 'pop', 'rap', 'trap queen']"
Lil Durk Featuring Gunna,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Lil Durk Featuring Future,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Kevin Gates Featuring Juicy J,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Nirvana,"['grunge', 'permanent wave', 'rock']"
Lil Durk Featuring Summer Walker,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Imagine Dragons,"['modern rock', 'pop', 'rock']"
Coi Leray & Nicki Minaj,"['new jersey underground rap', 'trap queen']"
4*TOWN (From Disney And Pixar's Turning Red),['movie tunes']
Carrie Underwood,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']"
AnnenMayKantereit & Giant Rooks,"['cologne indie', 'german singer-songwriter']"
Machine Gun Kelly & Bring Me The Horizon,"['ohio hip hop', 'pop rap']"
Lucky Daye,"['alternative r&b', 'r&b']"
Russell Dickerson & Jake Scott,"['contemporary country', 'country', 'country road', 'modern country rock']"
BoyWithUke X blackbear,['sad rap']
Yahritza y Su Esencia,['sad sierreno']
Nicki Minaj & Fivio Foreign,"['hip pop', 'pop', 'queens hip hop', 'rap']"
Machine Gun Kelly X blackbear,"['ohio hip hop', 'pop rap']"
Daddy Yankee & Bad Bunny,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Anitta,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']"
J Balvin & Ed Sheeran,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Harry Styles,['pop']
Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']"
Shawn Mendes,"['canadian pop', 'pop', 'viral pop']"
JID & J. Cole Featuring Kenny Mason & Sheck Wes,['']
Scotty McCreery,"['contemporary country', 'country', 'country road', 'modern country rock']"
Parmalee,"['contemporary country', 'country road', 'modern country rock', 'modern uplift']"
5 Seconds Of Summer,"['boy band', 'pop']"
Gucci Mane Featuring Key Glock & Young Dolph,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Rauw Alejandro & Chencho Corleone,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
BIA Featuring J. Cole,"['rap latina', 'trap queen']"
Camila Cabello Featuring WILLOW,"['dance pop', 'pop']"
42 Dugg & EST Gee,"['detroit trap', 'southern hip hop', 'trap']"
Pusha T Featuring JAY-Z & Pharrell Williams,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
BRELAND Featuring Thomas Rhett,['black americana']
Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']"
"Kay Flock, Cardi B, Dougie B & Bory300","['bronx drill', 'melodic drill', 'new york drill']"
6ix9ine,['emo rap']
Bailey Zimmerman,"['contemporary country', 'modern country pop']"
The Kid LAROI,['australian hip hop']
Karol G,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Ed Sheeran Featuring Lil Baby,"['pop', 'singer-songwriter pop', 'uk pop']"
Zach Bryan,['classic oklahoma country']
"Southside, Travis Scott & Future","['atl hip hop', 'atl trap']"
Pusha T Featuring Lil Uzi Vert & Don Toliver,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
Pusha T Featuring Kanye West & Kid Cudi,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
Pusha T Featuring Kanye West,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
Pusha T,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
Future Featuring Drake & Tems,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Future Featuring Drake,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Future Featuring Kanye West,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Future Featuring Gunna & Young Thug,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Future Featuring EST Gee,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Future Featuring Kodak Black,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Justin Bieber & Don Toliver,"['canadian pop', 'pop']"
PSY Featuring SUGA,"['k-rap', 'korean old school hip hop']"
Benson Boone,['singer-songwriter pop']
Sam Smith,"['pop', 'uk pop']"
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & Chencho Corleone,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & Rauw Alejandro,"['reggaeton', 'trap latino', 'urbano latino']"
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Bad Bunny & Jhay Cortez,"['reggaeton', 'trap latino', 'urbano latino']"
Jack Harlow Featuring Drake,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Bad Bunny & Bomba Estereo,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & Tony Dize,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & The Marias,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Bunny & Buscabulla,"['reggaeton', 'trap latino', 'urbano latino']"
Lady Gaga,"['art pop', 'dance pop', 'pop']"
Nate Smith,"['contemporary country', 'modern country pop']"
Jack Harlow Featuring Lil Wayne,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
"Kendrick Lamar, Blxst & Amanda Reifer","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Kendrick Lamar & Kodak Black,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Kendrick Lamar Featuring Sampha,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Kendrick Lamar & Taylour Paige,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
"Kendrick Lamar, Summer Walker & Ghostface Killah","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
"Kendrick Lamar, Baby Keem, & Sam Dew","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Post Malone Featuring Roddy Ricch,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Kendrick Lamar & Tanna Leone,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Kendrick Lamar Featuring Beth Gibbons,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Quavo & Takeoff,['']
Ella Mai,"['r&b', 'rap', 'uk contemporary r&b', 'urban contemporary']"
Kate Bush,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
Kanye West & XXXTENTACION,"['chicago rap', 'hip hop', 'rap']"
SleazyWorld Go Featuring Lil Baby,['southern hip hop']
Sleepy Hallow Featuring 347aidan,"['brooklyn drill', 'nyc rap']"
"Calvin Harris, Dua Lipa & Young Thug","['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']"
Nicky Youre & dazy,['singer-songwriter pop']
Hitkidd & Glorilla,['memphis hip hop']
Keith Urban,"['contemporary country', 'country', 'country road']"
Tim McGraw,"['contemporary country', 'country', 'country road']"
Stephen Sanchez,['gen z singer-songwriter']
Post Malone Featuring Doja Cat,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Post Malone Featuring Gunna,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Post Malone Featuring The Kid LAROI,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Post Malone Featuring Fleet Foxes,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Shakira & Rauw Alejandro,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Joji,['viral pop']
BTS,"['k-pop', 'k-pop boy group', 'pop']"
"Pharrell Williams Featuring 21 Savage & Tyler, The Creator","['dance pop', 'pop']"
Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
OneRepublic,"['piano rock', 'pop']"
Tyler Hubbard,"['contemporary country', 'modern country pop']"
Dylan Scott,"['contemporary country', 'country road', 'modern country rock']"
Drake Featuring 21 Savage,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Beyonce,"['pop', 'r&b']"
"Lil Baby, 42 Dugg & Veeze","['atl hip hop', 'atl trap', 'rap', 'trap']"
Corey Kent,"['modern country pop', 'texas country']"
Charlie Puth Featuring Jung Kook,"['pop', 'viral pop']"
Lil Nas X & Youngboy Never Broke Again,['lgbtq+ hip hop']
Eminem & Snoop Dogg,"['detroit hip hop', 'hip hop', 'rap']"
Chris Brown Featuring WizKid,['']
Chris Brown Featuring Jack Harlow,"['r&b', 'rap']"
Lil Durk Featuring EST Gee,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Chris Brown Featuring Lil Baby,"['r&b', 'rap']"
Lil Durk Featuring Doodie Lo,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']"
Chris Brown Featuring Lil Wayne & BLEU,"['r&b', 'rap']"
"Cardi B, Ye & Lil Durk","['pop', 'rap']"
Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
Jelly Roll,"['country rap', 'modern country pop', 'nashville hip hop', 'tennessee hip hop']"
City Girls & Usher,"['scam rap', 'trap queen']"
Ingrid Andress With Sam Hunt,"['contemporary country', 'country pop']"
Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']"
j-hope,"['k-pop', 'k-rap']"
Marshmello & Khalid,"['brostep', 'edm', 'pop', 'progressive electro house']"
Jake Owen,"['contemporary country', 'country', 'country road']"
Sia,['pop']
Steve Lacy,['afrofuturism']
Brent Faiyaz,"['r&b', 'rap']"
Yung Gravy,"['meme rap', 'minnesota hip hop']"
"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator","['r&b', 'rap']"
Burna Boy,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
Brent Faiyaz Featuring Alicia Keys,"['r&b', 'rap']"
Brent Faiyaz Featuring Joony,"['r&b', 'rap']"
Brent Faiyaz Featuring Drake,"['r&b', 'rap']"
Mitchell Tenpenny,"['contemporary country', 'country road', 'heartland rock', 'modern country rock']"
Tems,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']"
Chris Young With Mitchell Tenpenny,"['contemporary country', 'country', 'country road']"
Gabby Barrett,['contemporary country']
Megan Thee Stallion Featuring Future,"['houston rap', 'pop', 'rap', 'trap queen']"
John Rich,['']
Justin Moore,"['arkansas country', 'contemporary country', 'country', 'country road']"
Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']"
Russ & Ed Sheeran,"['hawaiian hip hop', 'pop rap']"
Bizarrap & Quevedo,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
Beyonce Featuring BEAM,"['pop', 'r&b']"
"NAV, Travis Scott & Lil Baby","['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'trap']"
Beyonce Featuring Grace Jones & Tems,"['pop', 'r&b']"
Jax,"['gen z singer-songwriter', 'singer-songwriter pop']"
Nardo Wick,"['florida drill', 'florida rap', 'southern hip hop']"
DJ Khaled Featuring Drake & Lil Baby,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
"benny blanco, BTS & Snoop Dogg",['pop']
YoungBoy Never Broke Again Featuring Rod Wave,"['baton rouge rap', 'rap']"
"Trippie Redd, Moneybagg Yo & Offset","['melodic rap', 'rap', 'trap']"
Rosalia,"['pop', 'r&b en espanol']"
Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']"
Rod Wave Featuring Jack Harlow,['florida rap']
Megan Thee Stallion Featuring Key Glock,"['houston rap', 'pop', 'rap', 'trap queen']"
Megan Thee Stallion Featuring Latto,"['houston rap', 'pop', 'rap', 'trap queen']"
Jordan Davis,['contemporary country']
