title,artist,genres...
All I Want For Christmas Is You,Mariah Carey,dance pop,pop,urban contemporary
Rockin' Around The Christmas Tree,Brenda Lee,adult standards,easy listening,lounge,rockabilly
Jingle Bell Rock,Bobby Helms,
Love Nwantiti (Ah Ah Ah),CKay,afro r&b,afrobeats
Knife Talk,Drake Featuring 21 Savage & Project Pat,canadian hip hop,canadian pop,hip hop,pop rap,rap
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,contemporary country,country,country road,modern country rock
Merry Christmas,Ed Sheeran & Elton John,pop,singer-songwriter pop,uk pop
Better Days,NEIKED X Mae Muller X Polo G,scandipop
Oh My God,Adele,british soul,pop,pop soul,uk pop
Way 2 Sexy,Drake Featuring Future & Young Thug,canadian hip hop,canadian pop,hip hop,pop rap,rap
Buy Dirt,Jordan Davis Featuring Luke Bryan,contemporary country
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,modern alternative pop
You Should Probably Leave,Chris Stapleton,contemporary country,outlaw country
Christmas Tree Farm (Old Timey Version),Taylor Swift,pop
Pick Out A Christmas Tree,Dan + Shay,contemporary country,country,country road
Whiskey And Rain,Michael Ray,contemporary country,country road,modern country rock
Girls Want Girls,Drake Featuring Lil Baby,canadian hip hop,canadian pop,hip hop,pop rap,rap
Sand In My Boots,Morgan Wallen,contemporary country
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",florida drill,florida rap,southern hip hop
All Too Well (Taylor's Version),Taylor Swift,pop
Big Energy,Latto,trap queen
Enemy,Imagine Dragons X JID,modern rock,pop,rock
I'll Be Home For Christmas,Camila Cabello,dance pop,pop
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,pop rap,westcoast flow
One Mississippi,Kane Brown,black americana,contemporary country,country,country road
Burn,Juice WRLD,chicago rap,melodic rap,rap
Have Mercy,Chloe,contemporary r&b
Woman,Doja Cat,dance pop,pop
25 Million,Roddy Ricch,melodic rap,rap,trap
By Your Side,Rod Wave,florida rap
Christmas Isn't Canceled (Just You),Kelly Clarkson,dance pop,pop,talent show
For Tonight,Giveon,r&b
Life Goes On,Oliver Tree,alternative hip hop
'Til You Can't,Cody Johnson,classic texas country,contemporary country,modern country pop
To Be Loved By You,Parker McCollum,classic texas country,contemporary country,modern country pop,texas country
My Universe,Coldplay x BTS,permanent wave,pop
Moved To Miami,Roddy Ricch Featuring Lil Baby,melodic rap,rap,trap
Freedom Was A Highway,Jimmie Allen & Brad Paisley,black americana,contemporary country,country road,modern country rock
Wandered To LA.,Juice WRLD & Justin Bieber,chicago rap,melodic rap,rap
Already Dead,Juice WRLD,chicago rap,melodic rap,rap
Tequila Little Time,Jon Pardi,contemporary country,country,country road,modern country rock
Scorpio,Moneybagg Yo,memphis hip hop,rap,southern hip hop,tennessee hip hop,trap
Hibachi,Roddy Ricch Featuring Kodak Black & 21 Savage,melodic rap,rap,trap
Heart On Fire,Eric Church,contemporary country,country,country road
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,pop
Same Boat,Zac Brown Band,contemporary country,country,country road,modern country rock
Thailand,Roddy Ricch,melodic rap,rap,trap
Bubbly,Young Thug With Drake & Travis Scott,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,rap,trap
Do It To It,Acraze Featuring Cherish,pop dance,tech house
No Love,Summer Walker & SZA,r&b,rap
Knowing You,Kenny Chesney,contemporary country,country,country road
Family Ties,Baby Keem & Kendrick Lamar,hip hop,rap
Essence,Wizkid Featuring Justin Bieber & Tems,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop
Kiss Me More,Doja Cat Featuring SZA,dance pop,pop
You Right,Doja Cat & The Weeknd,dance pop,pop
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",
Surface Pressure,Jessica Darrow,movie tunes
Christmas Tree,V,j-division,korean ost
Hrs And Hrs,Muni Long,
Doin' This,Luke Combs,contemporary country,country
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,contemporary country,country
Poke It Out,Wale Featuring J. Cole,pop rap,r&b,rap,southern hip hop,trap
I Am Woman,Emmy Meli,alt z
Pressure,Ari Lennox,alternative r&b
Beers On Me,"Dierks Bentley, Breland & HARDY",contemporary country,country,country road
23,Sam Hunt,contemporary country,country,country pop,modern country rock
Levitating,Dua Lipa,dance pop,pop,uk pop
Save Your Tears,The Weeknd & Ariana Grande,canadian contemporary r&b,canadian pop,pop
If I Didn't Love You,Jason Aldean & Carrie Underwood,contemporary country,country,country road,modern country rock
Beggin',Maneskin,indie rock italiano,italian pop
Montero (Call Me By Your Name),Lil Nas X,lgbtq+ hip hop
Pepas,Farruko,reggaeton,trap latino,urbano latino
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),dance pop,pop
Chasing After You,Ryan Hurd With Maren Morris,contemporary country,country pop,country road,modern country rock
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",hollywood,movie tunes
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,movie tunes
Flower Shops,ERNEST Featuring Morgan Wallen,modern country pop
Fingers Crossed,Lauren Spencer-Smith,alt z,gen z singer-songwriter,singer-songwriter pop
Waiting On A Miracle,Stephanie Beatriz,hollywood,movie tunes
Dos Oruguitas,Sebastian Yatra,colombian pop,latin pop,reggaeton,reggaeton colombiano,urbano latino
Too Easy,Gunna & Future,atl hip hop,melodic rap,rap,trap
Fair Trade,Drake Featuring Travis Scott,canadian hip hop,canadian pop,hip hop,pop rap,rap
Volvi,Aventura x Bad Bunny,bachata,bachata dominicana,latin hip hop,latin pop,tropical,urbano latino
AA,Walker Hayes,contemporary country,country,country road,modern country rock
Come Through,H.E.R. Featuring Chris Brown,r&b,rap
Home Sweet,Russell Dickerson,contemporary country,country,country road,modern country rock
Come Back As A Country Boy,Blake Shelton,classic oklahoma country,contemporary country,country,country road
Black Ball,YoungBoy Never Broke Again & Birdman,baton rouge rap,rap
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",alabama rap,trap
Moth To A Flame,Swedish House Mafia & The Weeknd,edm,pop dance,progressive electro house
Me Or Sum,"Nardo Wick, Lil Baby & Future",florida drill,florida rap,southern hip hop
I Love You So,The Walters,chicago indie,pov: indie
Bad Man (Smooth Criminal),Polo G,chicago rap,rap
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,contemporary country,country,country road
Just About Over You,Priscilla Block,contemporary country,modern country pop
Pushin P,Gunna & Future Featuring Young Thug,atl hip hop,melodic rap,rap,trap
Sacrifice,The Weeknd,canadian contemporary r&b,canadian pop,pop
Take My Breath,The Weeknd,canadian contemporary r&b,canadian pop,pop
Thought I Was Playing,Gunna & 21 Savage,atl hip hop,melodic rap,rap,trap
25k Jacket,Gunna Featuring Lil Baby,atl hip hop,melodic rap,rap,trap
Gasoline,The Weeknd,canadian contemporary r&b,canadian pop,pop
Is There Someone Else?,The Weeknd,canadian contemporary r&b,canadian pop,pop
Out Of Time,The Weeknd,canadian contemporary r&b,canadian pop,pop
How Do I Make You Love Me?,The Weeknd,canadian contemporary r&b,canadian pop,pop
Poochie Gown,Gunna,atl hip hop,melodic rap,rap,trap
Mop,Gunna Featuring Young Thug,atl hip hop,melodic rap,rap,trap
Alotta Cake,Gunna,atl hip hop,melodic rap,rap,trap
How You Did That,Gunna Featuring Kodak Black,atl hip hop,melodic rap,rap,trap
Here We Go... Again,"The Weeknd Featuring Tyler, The Creator",canadian contemporary r&b,canadian pop,pop
Less Than Zero,The Weeknd,canadian contemporary r&b,canadian pop,pop
IDK That Bitch,Gunna Featuring G Herbo,atl hip hop,melodic rap,rap,trap
Best Friends,The Weeknd,canadian contemporary r&b,canadian pop,pop
Livin Wild,Gunna,atl hip hop,melodic rap,rap,trap
I Heard You're Married,The Weeknd Featuring Lil Wayne,canadian contemporary r&b,canadian pop,pop
Circles Around This Town,Maren Morris,classic texas country,contemporary country
Dawn FM,The Weeknd,canadian contemporary r&b,canadian pop,pop
Private Island,Gunna,atl hip hop,melodic rap,rap,trap
South To West,Gunna,atl hip hop,melodic rap,rap,trap
You & Me,Gunna & Chloe,atl hip hop,melodic rap,rap,trap
Starry Eyes,The Weeknd,canadian contemporary r&b,canadian pop,pop
Don't Break My Heart,The Weeknd,canadian contemporary r&b,canadian pop,pop
Flooded,Gunna,atl hip hop,melodic rap,rap,trap
Die Alone,Gunna & Chris Brown Featuring Yung Bleu,atl hip hop,melodic rap,rap,trap
Every Angel Is Terrifying,The Weeknd,canadian contemporary r&b,canadian pop,pop
P Power,Gunna Featuring Drake,atl hip hop,melodic rap,rap,trap
Eazy,The Game & Kanye West,detroit hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap
Cold December,Rod Wave,florida rap
Bring The Hook,YoungBoy Never Broke Again,baton rouge rap,rap
Iffy,Chris Brown,r&b,rap
Never Say Never,Cole Swindell / Lainey Wilson,contemporary country,country,country road,modern country rock
Fish Scale,YoungBoy Never Broke Again,baton rouge rap,rap
Trouble With A Heartbreak,Jason Aldean,contemporary country,country,country road,modern country rock
Surround Sound,JID Featuring 21 Savage & Baby Tate,hip hop,pop rap,rap,underground hip hop
All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",hollywood,movie tunes
Light Switch,Charlie Puth,pop,viral pop
No Switch,YoungBoy Never Broke Again,baton rouge rap,rap
Bring It On,YoungBoy Never Broke Again,baton rouge rap,rap
Flossin',Internet Money Featuring YoungBoy Never Broke Again,pop rap,trap
Proud,Key Glock,memphis hip hop,rap,southern hip hop,tennessee hip hop,trap
Know Like I Know,YoungBoy Never Broke Again,baton rouge rap,rap
2Hoo,YoungBoy Never Broke Again,baton rouge rap,rap
Long Live,YoungBoy Never Broke Again,baton rouge rap,rap
Dis & That,YoungBoy Never Broke Again,baton rouge rap,rap
Beautiful Lies,Yung Bleu & Kehlani,alabama rap,trap
Smoke One,YoungBoy Never Broke Again,baton rouge rap,rap
Rumors,Gucci Mane Featuring Lil Durk,atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap
High,The Chainsmokers,pop
Johnny P's Caddy,Benny The Butcher & J. Cole,alternative hip hop,boom bap,buffalo hip hop,hip hop,upstate ny rap
Peru,Fireboy DML & Ed Sheeran,afrobeats,nigerian pop
Get Into It (Yuh),Doja Cat,dance pop,pop
If I Was A Cowboy,Miranda Lambert,contemporary country,country,country dawn,country road
Shotta Flow 6,NLE Choppa,memphis hip hop,rap
Vice City,XXXTENTACION,emo rap,miami hip hop,rap
Numb Little Bug,Em Beihold,alt z,gen z singer-songwriter
Infinity,Jaymes Young,indie poptimism
The Motto,Tiesto & Ava Max,big room,brostep,dutch edm,edm,house,pop dance,progressive electro house,slap house,trance
Megan's Piano,Megan Thee Stallion,houston rap,pop,rap,trap queen
"Colombia, Mi Encanto",Carlos Vives,colombian pop,latin pop,vallenato
Do We Have A Problem?,Nicki Minaj X Lil Baby,hip pop,pop,queens hip hop,rap
Don't Play That,King Von & 21 Savage,chicago rap,rap
Cigarettes,Juice WRLD,chicago rap,melodic rap,rap
She's All I Wanna Be,Tate McRae,pop
Scared Money,YG Featuring J. Cole & Moneybagg Yo,cali rap,hip hop,pop rap,rap,southern hip hop,trap
Emo Girl,Machine Gun Kelly & WILLOW,ohio hip hop,pop rap
Black Summer,Red Hot Chili Peppers,alternative rock,funk metal,funk rock,permanent wave,rock
Doja,$NOT & A$AP Rocky,cloud rap,florida rap,underground hip hop
Hate Our Love,Queen Naija & Big Sean,pop r&b,r&b
When I'm Gone,Alesso / Katy Perry,dance pop,edm,pop,pop dance,progressive electro house
MAMIII,Becky G X Karol G,latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino
Bussin,Nicki Minaj X Lil Baby,hip pop,pop,queens hip hop,rap
The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,pop,singer-songwriter pop,uk pop
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,g funk,gangster rap,hip hop,rap,west coast rap
Worst Day,Future,atl hip hop,hip hop,rap,southern hip hop,trap
The Next Episode,Dr. Dre Featuring Snoop Dogg,g funk,gangster rap,hip hop,rap,west coast rap
Lose Yourself,Eminem,detroit hip hop,hip hop,rap
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",brooklyn drill,new york drill,rap,trap
Beers On Me,"Dierks Bentley, BRELAND & HARDY",contemporary country,country,country road
Boyfriend,Dove Cameron,pop
Good Morning Gorgeous,Mary J. Blige,dance pop,hip pop,neo soul,r&b,urban contemporary
Closer,Saweetie Featuring H.E.R.,cali rap,trap queen
Stay Alive,Jung Kook,k-pop
Nail Tech,Jack Harlow,deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap
Ahhh Ha,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Banking On Me,Gunna,atl hip hop,melodic rap,rap,trap
Poppin,Yeat,pluggnb,rage rap
Pray,Jessie Murph,modern country pop,singer-songwriter pop
Give Heaven Some Hell,HARDY,contemporary country,modern country pop
Freaky Deaky,Tyga X Doja Cat,hip hop,pop rap,rap,southern hip hop,trap
I'm Tired,Labrinth & Zendaya,indie poptimism,pop
I Hate YoungBoy,YoungBoy Never Broke Again,baton rouge rap,rap
Usain Boo,Kodak Black,florida drill,florida rap,melodic rap,miami hip hop,rap,trap,trap latino
Slow Down Summer,Thomas Rhett,contemporary country,country,country road,modern country rock
I Wish,Kodak Black,florida drill,florida rap,melodic rap,miami hip hop,rap,trap,trap latino
To The Moon!,JNR CHOI & Sam Tompkins,gambian hip hop
Rocking A Cardigan In Atlanta,Lil Shordie Scott,viral rap
Bam Bam,Camila Cabello Featuring Ed Sheeran,dance pop,pop
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,modern blues rock
Handsomer,Russ Featuring Ktlyn,hawaiian hip hop,pop rap
Publicity Stunt,Gucci Mane,atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap
War,King Von,chicago rap,rap
Ay!,Machine Gun Kelly & Lil Wayne,ohio hip hop,pop rap
Neighborhood Superstar,DaBaby & YoungBoy Never Broke Again,hip hop,north carolina hip hop,pop rap,rap,trap
Facetime,King Von Featuring G Herbo,chicago rap,rap
Straight To It,King Von Featuring Fivio Foreign,chicago rap,rap
Evil Twins,King Von & Lil Durk,chicago rap,rap
Trust Nothing,King Von Featuring Moneybagg Yo,chicago rap,rap
Sweetest Pie,Megan Thee Stallion & Dua Lipa,houston rap,pop,rap,trap queen
What Happened To Virgil,Lil Durk Featuring Gunna,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Petty Too,Lil Durk Featuring Future,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
No Interviews,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Golden Child,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Thinking With My Dick,Kevin Gates Featuring Juicy J,baton rouge rap,pop rap,rap,southern hip hop,trap
Something In The Way,Nirvana,grunge,permanent wave,rock
Barbarian,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Shootout @ My Crib,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Started From,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Headtaps,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Smoking & Thinking,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Grow Up/Keep It On Speaker,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Blocklist,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Difference Is,Lil Durk Featuring Summer Walker,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Federal Nightmares,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Bones,Imagine Dragons,modern rock,pop,rock
Pissed Me Off,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Blick Blick!,Coi Leray & Nicki Minaj,new jersey underground rap,trap queen
Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),movie tunes
Sometimes,Juice WRLD,chicago rap,melodic rap,rap
Computer Murderers,Lil Durk,chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap
Ghost Story,Carrie Underwood,classic oklahoma country,contemporary country,country,country dawn,dance pop,pop
Tom's Diner,AnnenMayKantereit & Giant Rooks,cologne indie,german singer-songwriter
Maybe,Machine Gun Kelly & Bring Me The Horizon,ohio hip hop,pop rap
Over,Lucky Daye,alternative r&b,r&b
Money So Big,Yeat,pluggnb,rage rap
She Likes It,Russell Dickerson & Jake Scott,contemporary country,country,country road,modern country rock
IDGAF,BoyWithUke X blackbear,sad rap
Soy El Unico,Yahritza y Su Esencia,sad sierreno
Wasted On You,Morgan Wallen,contemporary country
We Go Up,Nicki Minaj & Fivio Foreign,hip pop,pop,queens hip hop,rap
Make Up Sex,Machine Gun Kelly X blackbear,ohio hip hop,pop rap
X Ultima Vez,Daddy Yankee & Bad Bunny,latin hip hop,reggaeton,trap latino,urbano latino
Envolver,Anitta,funk pop,funk rj,pagode baiano,pop,pop nacional
Chaotic,Tate McRae,pop
Sigue,J Balvin & Ed Sheeran,reggaeton,reggaeton colombiano,trap latino,urbano latino
As It Was,Harry Styles,pop
In My Head,Lil Tjay,brooklyn drill,melodic rap,nyc rap,rap
When You're Gone,Shawn Mendes,canadian pop,pop,viral pop
Stick,JID & J. Cole Featuring Kenny Mason & Sheck Wes,
Damn Strait,Scotty McCreery,contemporary country,country,country road,modern country rock
Take My Name,Parmalee,contemporary country,country road,modern country rock,modern uplift
Complete Mess,5 Seconds Of Summer,boy band,pop
4KT Baby,YoungBoy Never Broke Again,baton rouge rap,rap
Blood All On It,Gucci Mane Featuring Key Glock & Young Dolph,atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap
Desesperados,Rauw Alejandro & Chencho Corleone,puerto rican pop,reggaeton,trap latino,urbano latino
First Class,Jack Harlow,deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap
Right On,Lil Baby,atl hip hop,atl trap,rap,trap
In A Minute,Lil Baby,atl hip hop,atl trap,rap,trap
London,BIA Featuring J. Cole,rap latina,trap queen
Psychofreak,Camila Cabello Featuring WILLOW,dance pop,pop
Thump Shit,42 Dugg & EST Gee,detroit trap,southern hip hop,trap
Treat Me,Chloe,contemporary r&b
Neck & Wrist,Pusha T Featuring JAY-Z & Pharrell Williams,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop
Praise The Lord,BRELAND Featuring Thomas Rhett,black americana
Don't Think Jesus,Morgan Wallen,contemporary country
About Damn Time,Lizzo,escape room,minnesota hip hop,pop,trap queen
Shake It,"Kay Flock, Cardi B, Dougie B & Bory300",bronx drill,melodic drill,new york drill
Flowers,Lauren Spencer-Smith,alt z,gen z singer-songwriter,singer-songwriter pop
GINE,6ix9ine,emo rap
Leave You Alone,Kane Brown,black americana,contemporary country,country,country road
Fall In Love,Bailey Zimmerman,contemporary country,modern country pop
Thousand Miles,The Kid LAROI,australian hip hop
Plan B,Megan Thee Stallion,houston rap,pop,rap,trap queen
Provenza,Karol G,reggaeton,reggaeton colombiano,urbano latino
2step,Ed Sheeran Featuring Lil Baby,pop,singer-songwriter pop,uk pop
Something In The Orange,Zach Bryan,classic oklahoma country
Hold That Heat,"Southside, Travis Scott & Future",atl hip hop,atl trap
Scrape It Off,Pusha T Featuring Lil Uzi Vert & Don Toliver,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop
Tomorrow Me,Luke Combs,contemporary country,country
Rock N Roll,Pusha T Featuring Kanye West & Kid Cudi,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop
Dreamin Of The Past,Pusha T Featuring Kanye West,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop
Brambleton,Pusha T,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop
Wait For U,Future Featuring Drake & Tems,atl hip hop,hip hop,rap,southern hip hop,trap
Puffin On Zootiez,Future,atl hip hop,hip hop,rap,southern hip hop,trap
712PM,Future,atl hip hop,hip hop,rap,southern hip hop,trap
I'm Dat N***a,Future,
I'm On One,Future Featuring Drake,atl hip hop,hip hop,rap,southern hip hop,trap
Love You Better,Future,atl hip hop,hip hop,rap,southern hip hop,trap
Keep It Burnin,Future Featuring Kanye West,atl hip hop,hip hop,rap,southern hip hop,trap
Massaging Me,Future,atl hip hop,hip hop,rap,southern hip hop,trap
For A Nut,Future Featuring Gunna & Young Thug,atl hip hop,hip hop,rap,southern hip hop,trap
Chickens,Future Featuring EST Gee,atl hip hop,hip hop,rap,southern hip hop,trap
Gold Stacks,Future,atl hip hop,hip hop,rap,southern hip hop,trap
Voodoo,Future Featuring Kodak Black,atl hip hop,hip hop,rap,southern hip hop,trap
Honest,Justin Bieber & Don Toliver,canadian pop,pop
We Jus Wanna Get High,Future,atl hip hop,hip hop,rap,southern hip hop,trap
Holy Ghost,Future,atl hip hop,hip hop,rap,southern hip hop,trap
Frozen,Lil Baby,atl hip hop,atl trap,rap,trap
Back To The Basics,Future,atl hip hop,hip hop,rap,southern hip hop,trap
The Way Things Going,Future,atl hip hop,hip hop,rap,southern hip hop,trap
That That,PSY Featuring SUGA,k-rap,korean old school hip hop
In The Stars,Benson Boone,singer-songwriter pop
Love Me More,Sam Smith,pop,uk pop
Moscow Mule,Bad Bunny,reggaeton,trap latino,urbano latino
Titi Me Pregunto,Bad Bunny,reggaeton,trap latino,urbano latino
Despues de La Playa,Bad Bunny,reggaeton,trap latino,urbano latino
Me Porto Bonito,Bad Bunny & Chencho Corleone,reggaeton,trap latino,urbano latino
Thought You Should Know,Morgan Wallen,contemporary country
Party,Bad Bunny & Rauw Alejandro,reggaeton,trap latino,urbano latino
The Heart Part 5,Kendrick Lamar,conscious hip hop,hip hop,rap,west coast rap
Un Ratito,Bad Bunny,reggaeton,trap latino,urbano latino
Tarot,Bad Bunny & Jhay Cortez,reggaeton,trap latino,urbano latino
Dua Lipa,Jack Harlow,deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap
Yo No Soy Celoso,Bad Bunny,reggaeton,trap latino,urbano latino
Churchill Downs,Jack Harlow Featuring Drake,deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap
Ojitos Lindos,Bad Bunny & Bomba Estereo,reggaeton,trap latino,urbano latino
Neverita,Bad Bunny,reggaeton,trap latino,urbano latino
La Corriente,Bad Bunny & Tony Dize,reggaeton,trap latino,urbano latino
Efecto,Bad Bunny,reggaeton,trap latino,urbano latino
Aguacero,Bad Bunny,reggaeton,trap latino,urbano latino
Dos Mil 16,Bad Bunny,reggaeton,trap latino,urbano latino
Otro Atardecer,Bad Bunny & The Marias,reggaeton,trap latino,urbano latino
This Love (Taylor's Version),Taylor Swift,pop
Andrea,Bad Bunny & Buscabulla,reggaeton,trap latino,urbano latino
El Apagon,Bad Bunny,reggaeton,trap latino,urbano latino
Un Verano Sin Ti,Bad Bunny,reggaeton,trap latino,urbano latino
Un Coco,Bad Bunny,reggaeton,trap latino,urbano latino
Me Fui de Vacaciones,Bad Bunny,reggaeton,trap latino,urbano latino
Ensename A Bailar,Bad Bunny,reggaeton,trap latino,urbano latino
Agosto,Bad Bunny,reggaeton,trap latino,urbano latino
Hold My Hand,Lady Gaga,art pop,dance pop,pop
Whiskey On You,Nate Smith,contemporary country,modern country pop
I'd Do Anything To Make You Smile,Jack Harlow,deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap
Young Harleezy,Jack Harlow,deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap
Poison,Jack Harlow Featuring Lil Wayne,deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap
N95,Kendrick Lamar,conscious hip hop,hip hop,rap,west coast rap
Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",conscious hip hop,hip hop,rap,west coast rap
You Proof,Morgan Wallen,contemporary country
